7,31,59,1,0,0,1,21,0,0.0,0.0,2
6,24,42,0,0,0,1,18,0,0.0,0.0,5
5,25,53,0,2,1,0,15,0,0.0,0.0,2
4,18,34,0,0,0,0,12,0,0.0,0.0,0
3,14,24,1,0,0,0,9,0,0.0,0.0,2
2,13,24,0,1,0,1,6,0,0.0,0.0,2
1,3,3,0,0,0,0,3,0,0.0,0.0,0
1,8,8,0,0,0,0,3,0,0.0,0.0,0
2,6,10,0,0,0,0,6,0,0.0,0.0,0
3,20,29,0,1,0,0,9,0,0.0,0.0,3
7,34,57,0,1,1,0,21,0,0.0,0.0,7
6,16,43,0,0,0,0,18,0,0.0,0.0,4
5,15,36,0,0,2,0,15,0,0.0,0.0,2
4,18,35,0,1,0,0,12,0,0.0,0.0,1
3,20,32,1,0,1,0,9,0,0.0,0.0,0
2,14,26,1,0,1,0,6,0,0.0,0.0,2
1,7,7,0,0,0,0,3,0,0.0,0.0,1
1,8,8,0,0,0,0,3,0,0.0,0.0,0
2,12,12,0,0,0,0,6,0,0.0,0.0,2
3,9,14,0,0,0,0,9,0,0.0,0.0,0
4,13,24,0,0,0,0,12,0,0.0,0.0,0
5,25,42,1,0,0,1,15,0,0.0,0.0,2
6,29,52,2,0,0,0,18,0,0.0,0.0,0
7,21,50,0,0,2,0,21,0,0.0,0.0,2
7,16,57,0,2,1,0,21,0,0.0,0.0,2
6,27,58,1,0,1,1,18,0,0.0,0.0,5
5,13,27,0,0,0,0,15,0,0.0,0.0,0
4,22,39,1,0,0,0,12,0,0.0,0.0,1
3,12,17,0,0,0,0,9,0,0.0,0.0,0
2,15,15,0,0,0,1,6,0,0.0,0.0,2
1,12,12,0,0,1,0,3,0,0.0,0.0,1
1,7,7,0,0,0,0,3,0,0.0,0.0,1
2,13,23,0,1,0,0,6,0,0.0,0.0,1
3,4,8,0,0,0,0,9,0,0.0,0.0,0
4,11,26,0,0,0,0,12,0,0.0,0.0,0
5,23,57,2,1,0,0,15,0,0.0,0.0,4
6,35,59,1,1,0,1,18,0,0.0,0.0,3
7,31,47,0,1,1,0,21,0,0.0,0.0,2
7,23,53,1,0,1,0,21,0,0.0,0.0,0
6,20,45,0,1,0,0,18,0,0.0,0.0,3
5,11,29,0,0,0,1,15,0,0.0,0.0,0
4,24,33,0,0,0,0,12,0,0.0,0.0,3
3,10,15,0,0,0,0,9,0,0.0,0.0,0
2,6,9,0,0,0,0,6,0,0.0,0.0,2
1,12,12,0,0,1,0,3,0,0.0,0.0,1
1,2,2,0,0,0,0,3,0,0.0,0.0,1
2,9,15,0,0,0,0,6,0,0.0,0.0,1
3,21,23,0,0,1,0,9,0,0.0,0.0,1
4,12,22,0,0,0,0,12,0,0.0,0.0,2
5,16,39,1,0,0,1,15,0,0.0,0.0,1
6,25,52,1,0,1,1,18,0,0.0,0.0,3
7,23,58,1,0,0,2,21,0,0.0,0.0,5
7,44,55,1,1,0,1,21,0,0.0,0.0,3
6,20,51,1,0,2,0,18,0,0.0,0.0,0
5,14,27,0,0,0,0,15,0,0.0,0.0,0
4,14,26,0,0,0,0,12,0,0.0,0.0,2
3,14,26,0,0,1,1,9,0,0.0,0.0,3
2,7,12,0,0,0,0,6,0,0.0,0.0,2
1,3,3,0,0,0,0,3,0,0.0,0.0,0
1,13,13,0,1,0,0,3,0,0.0,0.0,1
2,15,15,0,1,0,0,6,0,0.0,0.0,2
3,15,18,0,0,0,1,9,0,0.0,0.0,1
4,18,34,1,0,0,1,12,0,0.0,0.0,2
5,14,45,0,1,1,1,15,0,0.0,0.0,4
6,24,62,0,1,1,2,18,0,0.0,0.0,3
7,19,53,0,0,1,0,21,0,0.0,0.0,2
7,20,55,1,0,0,1,21,0,0.0,0.0,3
6,19,55,0,1,1,1,18,0,0.0,0.0,2
5,26,41,0,0,1,1,15,0,0.0,0.0,4
4,14,29,1,0,0,1,12,0,0.0,0.0,2
3,18,32,1,0,0,1,9,0,0.0,0.0,1
2,13,21,0,1,0,0,6,0,0.0,0.0,2
1,12,12,0,0,1,0,3,0,0.0,0.0,1
1,13,13,0,1,0,0,3,0,0.0,0.0,1
2,13,15,0,1,0,0,6,0,0.0,0.0,2
3,14,20,0,0,1,0,9,0,0.0,0.0,0
4,16,37,0,0,0,1,12,0,0.0,0.0,3
5,23,52,0,1,1,0,15,0,0.0,0.0,0
6,23,69,2,1,0,0,18,0,0.0,0.0,1
7,25,64,2,0,0,1,21,0,0.0,0.0,1
7,18,57,0,1,2,0,21,0,0.0,0.0,4
6,30,61,1,1,0,0,18,0,0.0,0.0,3
5,12,31,0,0,1,0,15,0,0.0,0.0,0
4,18,32,1,0,0,0,12,0,0.0,0.0,2
3,13,28,0,1,0,1,9,0,0.0,0.0,1
2,11,21,0,0,0,1,6,0,0.0,0.0,0
1,13,13,0,1,0,0,3,0,0.0,0.0,1
1,11,11,0,0,0,1,3,0,0.0,0.0,1
2,14,18,1,0,0,0,6,0,0.0,0.0,2
3,14,31,1,0,0,1,9,0,0.0,0.0,1
